segment,profile,gold_per_min,exp_per_min,next_attempt_cost,next_level_expected_gold,purchasing_power,gear_replace_interval_min,gem_slots,gem_avg_level,gem_attack_bonus,enhance_level,minutes
1 ~ 100,casual,274.1050439067463,311.07782630934173,16286,40463.008026211995,0.016830716192235435,27.248272350033414,1,192,0.07239210824737673,16,245.2344511503007
1 ~ 100,normal,950.8406792655854,880.3566830583101,17576,61129.781487603774,0.05409880969877022,8.714744240574108,1,192,0.24130702749125577,17,104.5769308868893
1 ~ 100,top,1959.2412985161507,1151.621906173874,16286,40463.008026211995,0.12030217969520758,2.3415526561946085,1,192,0.26543773024038136,16,28.098631874335304
101 ~ 500,casual,345.0870363348985,918095.1349531359,27714,95685.58051053186,0.012451722462831006,62.56751434233632,5,332.4,0.21979037209498326,18,1313.9178011890626
101 ~ 500,normal,1249.014959407421,2318530.315651154,32933,233581.58160070065,0.037925939313376275,20.71335916330398,5,398.8,0.5191440781404271,20,911.3878031853752
101 ~ 500,top,2604.033514557911,3821044.1524117845,35238,406946.6493621304,0.07389844811163832,5.331230205006195,5,389.4,0.5614283852837256,22,250.56781963529116
501 ~ 1000,casual,571.1671454727241,17086773034.862404,45911,158509.619359718,0.012440747216848338,61.894964811239504,5,535.2,0.2211515020623753,18,1671.1640499034665
501 ~ 1000,normal,1995.7764872148337,36090033596.22789,62426,1292978.0738053352,0.031970276602935215,20.627920792722538,5,798,0.5262949015985018,24,1175.7914851851847
501 ~ 1000,top,4307.918216298936,62011315625.06319,64598,1683583.5370158805,0.06668810514720172,5.330954450942174,5,788.6,0.5691914197433705,25,303.8644037037039
1001 ~ 2000,casual,1228.0510899751196,2774874503098177000,124116,428511.73027204914,0.009894381787804309,62.196063355779344,5,932.4,0.22244110611360954,18,3296.391357856305
1001 ~ 2000,normal,4352.4884158377845,6638895541892944000,168763,3495411.0283539523,0.025790537119142136,20.631426273966184,5,1596.4,0.5331801007886412,24,2351.982595232145
1001 ~ 2000,top,9381.89906581581,11410226612318330000,,,,5.3323108043942495,5,1586.2,0.5765909379547135,30,607.8834317009445
2001 ~ 10000,casual,653251.6550664306,2.076949673667583e+86,372211371,1285059759.7327127,0.0017550556107713072,125.58334616447138,5,4138.2,0.22540441731822244,18,201938.02063246997
2001 ~ 10000,normal,2293012.019178398,5.386335578158812e+86,503580090,10430100042.829802,0.004553420726340468,33.37945743898411,5,8000.8,0.5488072730829356,24,59014.88075212391
2001 ~ 10000,top,4745325.635259789,9.260386079443275e+86,,,,6.621903190704051,5,7993.8,0.5933114555112657,30,19329.335413665125
10001 ~ 17000,casual,378588864.96278465,1.422601905782505e+146,406754149716,1404318701895.7178,0.0009307559989913301,324.5681571857394,5,6938,0.22637190944944044,18,497238.41680855275
10001 ~ 17000,normal,1390853968.3358982,3.8523603290711013e+146,550314437851,11398057126803.016,0.0025273804804526643,30.967394411311684,5,13601,0.5539100248329749,24,139167.4704844347
10001 ~ 17000,top,2983889581.531218,7.035727395162951e+146,,,,19.45128838477158,5,13594,0.5987555083778714,30,43765.39886573605
17001 ~ 25300,casual,165925628953.78983,2.7052883482482787e+196,138731181241598,478969403236619.3,0.0011960226062288993,241.50069242296698,5,9271.2,0.22690939864510923,18,494351.9173898134
17001 ~ 25300,normal,4623971990146.958,8.152421517404135e+217,2205230473747480,45674511131618720,0.0020968202848608225,50.01056647354072,5,20241.2,0.5577273034638803,24,161434.10857658944
17001 ~ 25300,top,11615784853753.342,1.5449463189966408e+218,,,,34.17356275278567,5,20230.6,0.6028255251727013,30,65852.45542461799
