stage,profile,gem_power,gem_share,gem_avg_level,gem_count
125,casual,0.0942818238942759,0.04265994205271473,204.5,2
125,normal,0.26319674313815494,0.09135280192762107,204.5,2
125,top,0.26543773024038136,0.07349994491123168,192,1
500,casual,0.21986472510734323,0.09413381496016626,340,5
500,normal,0.5191440781404271,0.1654880168053855,398.8,5
500,top,0.5614283852837256,0.1436836952814211,389.4,5
1000,casual,0.22118521083574694,0.09464566459753387,542.4,5
1000,normal,0.5262949015985018,0.16738593917246725,798,5
1000,top,0.5691914197433705,0.14538161389070559,788.6,5
2000,casual,0.22245869661974316,0.09513874839523495,940,5
2000,normal,0.5332193839838166,0.1692155784279813,1602.8,5
2000,top,0.5766383488969306,0.1470040788187208,1593.4,5
5000,casual,0.2241171345894401,0.0957800780898238,2118.8,5
5000,normal,0.5420637968631046,0.17154085448034007,3991.6,5
5000,top,0.5861705481088731,0.1490718945826145,3992.4,5
10000,casual,0.22540360964250555,0.09627694131950504,4136.4,5
10000,normal,0.5488061167270148,0.17330474636698912,7998.6,5
10000,top,0.5933066431275247,0.15061337431817878,7990.4,5
20000,casual,0.2266676981441096,0.09676462681160203,8136.4,5
20000,normal,0.5554682280398735,0.14237551375416424,15995,5
20000,top,0.6004187822136758,0.1521441325324313,15991,5
